"score","categoria","marca","id_a","nome_a","lojas_a","preco_a","ean_a","gtin_a","mpn_a","id_b","nome_b","lojas_b","preco_b","ean_b","gtin_b","mpn_b","acao_manual","notas"
"0.71","sapatilhas","Mizuno","314","Sapatilhas padel Mizuno Wave Exceed Light 2 Mulher brancos","Atmosfera Sport","93.75","5059431698107","5059431698107","61GB2323-66","2736","Sapatilhas de interior Mizuno Wave Exceed Light Padel","Smash Expert","117","5059431363173","","61GB222210","",""
"0.71","sapatilhas","Mizuno","314","Sapatilhas padel Mizuno Wave Exceed Light 2 Mulher brancos","Atmosfera Sport","93.75","5059431698107","5059431698107","61GB2323-66","2737","Sapatilhas de padel interior Mizuno Wave Exceed Light Padel","Smash Expert","117","5059431363289","","61GB222225","",""
"0.71","sapatilhas","Mizuno","314","Sapatilhas padel Mizuno Wave Exceed Light 2 Mulher brancos","Atmosfera Sport","93.75","5059431698107","5059431698107","61GB2323-66","2835","Sapatilhas de padel para mujer Mizuno Wave Exceed Light","Smash Expert","125","5059431540383","","61GB232391","",""
"0.71","sapatilhas","Mizuno","1969","Mizuno wave exceed tour 5 cc sapatilhas Padel Hombre","Forum Sport ES","104.99","","5059431429435","61GC2274","2669","Sapatilhas de padel Mizuno Wave Exceed Tour","Sport is Good | Smash Expert","68.94","5059882574050","","61GB248045","",""
"0.71","sapatilhas","Mizuno","2025","Mizuno wave exceed tour 6 padel sapatilhas Padel Hombre","Forum Sport ES","90.44","","5059882574067","61GB2480","2686","Sapatilhas de tenis Mizuno Wave Exceed Tour 7 Padel","Sport is Good | Smash Expert","96.17","5059882833133","","61GB267735","",""
"0.71","sapatilhas","Mizuno","2059","Mizuno wave exceed tour 7 padel sapatilhas Padel Hombre","Forum Sport ES","94.49","","5059882833102","61GB2677","2686","Sapatilhas de tenis Mizuno Wave Exceed Tour 7 Padel","Sport is Good | Smash Expert","96.17","5059882833133","","61GB267735","",""
"0.71","sapatilhas","Mizuno","2060","Mizuno wave exceed tour 7 cc sapatilhas Padel Mujer","Forum Sport ES","91.79","","5059882833782","61GC2676","2669","Sapatilhas de padel Mizuno Wave Exceed Tour","Sport is Good | Smash Expert","68.94","5059882574050","","61GB248045","",""
"0.71","sapatilhas","Mizuno","2060","Mizuno wave exceed tour 7 cc sapatilhas Padel Mujer","Forum Sport ES","91.79","","5059882833782","61GC2676","3065","Sapatilhas de padel para mujer Mizuno Wave Exceed","Smash Expert","84.18","5059882574678","","61GB252344","",""
"0.71","sapatilhas","Mizuno","2061","Mizuno wave exceed tour 7 cc sapatilhas Padel Hombre","Forum Sport ES","91.79","","5059882833744","61GC2675","2669","Sapatilhas de padel Mizuno Wave Exceed Tour","Sport is Good | Smash Expert","68.94","5059882574050","","61GB248045","",""
"0.71","sacos","Bullpadel","1822","Bolsa padel Bullpadel Tour Preto 2026","Zona de Padel | Forum Sport ES | Padel Proshop PT","25.21","8447552006999","8447552006999","52456278163761","2600","Saco de padel Bullpadel Tour 2026","Decathlon ES","41.99","8447552006968","","9002017","",""
